name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_326767,19,"C, H, O, S",0.0759,0.2299,0.0415,0.9481
NSC_37114,27,"C, H, I, O",0.0759,0.1885,0.0543,0.9523
NSC_119770,48,"C, H, N, O, S",0.0759,0.2287,0.0522,0.9306
NSC_40016,27,"C, H, I, N, O, S",0.0759,0.2108,0.0565,0.9632
NSC_101540,30,"C, H, N, O",0.0759,0.2759,0.0535,0.929
NSC_358370,31,"C, H, I, N, O",0.0759,0.2716,0.0494,0.9435
NSC_108082,26,"C, H, N, O",0.0759,0.2765,0.0536,0.9484
NSC_106371,26,"Br, C, H, N, O",0.0759,0.2684,0.0535,0.9078
NSC_114364,44,"C, H, N, O, S",0.0759,0.3207,0.0517,0.9794
NSC_155954,20,"C, H, I, N, O",0.076,0.1927,0.0545,0.9575
NSC_114647,36,"C, H, N, O, S",0.076,0.344,0.0494,0.9316
NSC_11804,17,"C, H, N, O",0.076,0.2203,0.0536,0.9712
NSC_651040,16,"C, Cl, H, I, N, O",0.076,0.1839,0.0588,0.9494
NSC_121910,33,"C, H, N, O, S",0.076,0.3003,0.0501,0.9344
NSC_191755,27,"C, H, N, O",0.076,0.2563,0.0528,0.9531
NSC_114741,40,"C, H, N, O, S",0.076,0.2433,0.0499,0.9792
NSC_11818,24,"C, H, N, O",0.076,0.257,0.0503,0.9609
NSC_125829,42,"C, H, N, S",0.076,0.2147,0.0531,0.9286
NSC_114441,39,"C, H, N, O, S",0.076,0.2451,0.0534,0.9797
NSC_109916,22,"C, H, N, O, S",0.0761,0.2107,0.0536,0.9848
NSC_105763,31,"C, Cl, H, N, O, S",0.0761,0.1413,0.0586,0.9806
NSC_213,30,"C, H, O, S",0.0761,0.1924,0.058,0.9633
NSC_372369,13,"C, H, N, P",0.0761,0.1542,0.0592,0.9841
NSC_295387,18,"C, Cl, H, O, S",0.0761,0.2287,0.0545,0.9873
NSC_101687,24,"C, H, N, O",0.0761,0.2497,0.0535,0.9551
NSC_10415,38,"C, H, N, O, S",0.0762,0.2572,0.0544,0.9757
NSC_403295,24,"C, Cl, H, O, S",0.0762,0.2368,0.0505,0.9808
NSC_529484,15,"C, H, I, N, O",0.0762,0.1608,0.0553,0.9734
NSC_106493,52,"C, H, N, O, S",0.0762,0.3883,0.053,0.9659
NSC_10746,24,"C, H, N, O",0.0762,0.1807,0.0553,0.9487
NSC_187536,31,"C, H, N, O, S",0.0762,0.2681,0.0508,0.9803
NSC_127169,23,"C, H, N, O, S",0.0762,0.1725,0.0573,0.9859
NSC_111603,51,"C, H, N, O, S",0.0763,0.2538,0.0575,0.9846
NSC_302578,30,"C, Cl, H, N, O, S",0.0763,0.2643,0.049,0.9884
NSC_103831,52,"C, H, N, O",0.0763,0.1752,0.0563,0.9563
NSC_89831,41,"C, H, I, N, O",0.0763,0.248,0.0566,0.9385
NSC_113911,31,"C, F, H, N, O, S",0.0763,0.2602,0.056,0.9798
NSC_43570,24,"C, H, I, S",0.0763,0.1482,0.0606,0.8986
